Measure Name,Year,Period,Value
Number of Personal Bankruptcies (Ontario),2007,Jan,2307
Number of Personal Bankruptcies (Ontario),2007,Feb,2369
Number of Personal Bankruptcies (Ontario),2007,Mar,2715
Number of Personal Bankruptcies (Ontario),2007,Apr,2651
Number of Personal Bankruptcies (Ontario),2007,May,2931
Number of Personal Bankruptcies (Ontario),2007,Jun,2645
Number of Personal Bankruptcies (Ontario),2007,Jul,2502
Number of Personal Bankruptcies (Ontario),2007,Aug,2701
Number of Personal Bankruptcies (Ontario),2007,Sep,2622
Number of Personal Bankruptcies (Ontario),2007,Oct,2888
Number of Personal Bankruptcies (Ontario),2007,Nov,2877
Number of Personal Bankruptcies (Ontario),2007,Dec,2231
Number of Personal Bankruptcies (Ontario),2008,Jan,2372
Number of Personal Bankruptcies (Ontario),2008,Feb,2677
Number of Personal Bankruptcies (Ontario),2008,Mar,2641
Number of Personal Bankruptcies (Ontario),2008,Apr,3292
Number of Personal Bankruptcies (Ontario),2008,May,2929
Number of Personal Bankruptcies (Ontario),2008,Jun,2885
Number of Personal Bankruptcies (Ontario),2008,Jul,3061
Number of Personal Bankruptcies (Ontario),2008,Aug,2749
Number of Personal Bankruptcies (Ontario),2008,Sep,3365
Number of Personal Bankruptcies (Ontario),2008,Oct,3566
Number of Personal Bankruptcies (Ontario),2008,Nov,3283
Number of Personal Bankruptcies (Ontario),2008,Dec,3380
Number of Personal Bankruptcies (Ontario),2009,Jan,2952
Number of Personal Bankruptcies (Ontario),2009,Feb,3404
Number of Personal Bankruptcies (Ontario),2009,Mar,4233
Number of Personal Bankruptcies (Ontario),2009,Apr,4450
Number of Personal Bankruptcies (Ontario),2009,May,4067
Number of Personal Bankruptcies (Ontario),2009,Jun,4345
Number of Personal Bankruptcies (Ontario),2009,Jul,4125
Number of Personal Bankruptcies (Ontario),2009,Aug,3872
Number of Personal Bankruptcies (Ontario),2009,Sep,5007
Number of Personal Bankruptcies (Ontario),2009,Oct,3437
Number of Personal Bankruptcies (Ontario),2009,Nov,3393
Number of Personal Bankruptcies (Ontario),2009,Dec,3236
Number of Personal Bankruptcies (Ontario),2010,Jan,2443
Number of Personal Bankruptcies (Ontario),2010,Feb,2695
Number of Personal Bankruptcies (Ontario),2010,Mar,3188
Number of Personal Bankruptcies (Ontario),2010,Apr,3175
Number of Personal Bankruptcies (Ontario),2010,May,2850
Number of Personal Bankruptcies (Ontario),2010,Jun,2963
Number of Personal Bankruptcies (Ontario),2010,Jul,2579
Number of Personal Bankruptcies (Ontario),2010,Aug,2496
Number of Personal Bankruptcies (Ontario),2010,Sep,2783
Number of Personal Bankruptcies (Ontario),2010,Oct,2685
Number of Personal Bankruptcies (Ontario),2010,Nov,2681
Number of Personal Bankruptcies (Ontario),2010,Dec,2462
Number of Personal Bankruptcies (Ontario),2011,Jan,1757
Number of Personal Bankruptcies (Ontario),2011,Feb,1932
Number of Personal Bankruptcies (Ontario),2011,Mar,2539
Number of Personal Bankruptcies (Ontario),2011,Apr,2343
Number of Personal Bankruptcies (Ontario),2011,May,2236
Number of Personal Bankruptcies (Ontario),2011,Jun,2260
Number of Personal Bankruptcies (Ontario),2011,Jul,1846
Number of Personal Bankruptcies (Ontario),2011,Aug,2035
Number of Personal Bankruptcies (Ontario),2011,Sep,2176
Number of Personal Bankruptcies (Ontario),2011,Oct,2045
Number of Personal Bankruptcies (Ontario),2011,Nov,2277
Number of Personal Bankruptcies (Ontario),2011,Dec,2083
Number of Personal Bankruptcies (Ontario),2012,Jan,1643
Number of Personal Bankruptcies (Ontario),2012,Feb,1938
Number of Personal Bankruptcies (Ontario),2012,Mar,2078
Number of Personal Bankruptcies (Ontario),2012,Apr,2079
Number of Personal Bankruptcies (Ontario),2012,May,2186
Number of Personal Bankruptcies (Ontario),2012,Jun,2010
Number of Personal Bankruptcies (Ontario),2012,Jul,1878
Number of Personal Bankruptcies (Ontario),2012,Aug,1888
Number of Personal Bankruptcies (Ontario),2012,Sep,1840
Number of Personal Bankruptcies (Ontario),2012,Oct,2075
Number of Personal Bankruptcies (Ontario),2012,Nov,1983
Number of Personal Bankruptcies (Ontario),2012,Dec,1638
Number of Personal Bankruptcies (Ontario),2013,Jan,1613
Number of Personal Bankruptcies (Ontario),2013,Feb,1556
Number of Personal Bankruptcies (Ontario),2013,Mar,1885
Number of Personal Bankruptcies (Ontario),2013,Apr,2136
Number of Personal Bankruptcies (Ontario),2013,May,2085
Number of Personal Bankruptcies (Ontario),2013,Jun,1803
Number of Personal Bankruptcies (Ontario),2013,Jul,1835
Number of Personal Bankruptcies (Ontario),2013,Aug,1761
Number of Personal Bankruptcies (Ontario),2013,Sep,1727
Number of Personal Bankruptcies (Ontario),2013,Oct,1989
Number of Personal Bankruptcies (Ontario),2013,Nov,1818
Number of Personal Bankruptcies (Ontario),2013,Dec,1565
Number of Personal Bankruptcies (Ontario),2014,Jan,1342
Number of Personal Bankruptcies (Ontario),2014,Feb,1511
Number of Personal Bankruptcies (Ontario),2014,Mar,1797
Number of Personal Bankruptcies (Ontario),2014,Apr,1777
Number of Personal Bankruptcies (Ontario),2014,May,1808
Number of Personal Bankruptcies (Ontario),2014,Jun,1532
Number of Personal Bankruptcies (Ontario),2014,Jul,1644
Number of Personal Bankruptcies (Ontario),2014,Aug,1413
Number of Personal Bankruptcies (Ontario),2014,Sep,1636
Number of Personal Bankruptcies (Ontario),2014,Oct,1671
Number of Personal Bankruptcies (Ontario),2014,Nov,1458
Number of Personal Bankruptcies (Ontario),2014,Dec,1645
Number of Personal Bankruptcies (Ontario),2015,Jan,1209
Number of Personal Bankruptcies (Ontario),2015,Feb,1380
Number of Personal Bankruptcies (Ontario),2015,Mar,1726
Number of Personal Bankruptcies (Ontario),2015,Apr,1724
Number of Personal Bankruptcies (Ontario),2015,May,1575
Number of Personal Bankruptcies (Ontario),2015,Jun,1590
Number of Personal Bankruptcies (Ontario),2015,Jul,1469
Number of Personal Bankruptcies (Ontario),2015,Aug,1376
Number of Personal Bankruptcies (Ontario),2015,Sep,1515
Number of Personal Bankruptcies (Ontario),2015,Oct,1496
Number of Personal Bankruptcies (Ontario),2015,Nov,1418
Number of Personal Bankruptcies (Ontario),2015,Dec,1557
Number of Personal Bankruptcies (Ontario),2016,Jan,1087
Number of Personal Bankruptcies (Ontario),2016,Feb,1380
Number of Personal Bankruptcies (Ontario),2016,Mar,1642
Number of Personal Bankruptcies (Ontario),2016,Apr,1624
Number of Personal Bankruptcies (Ontario),2016,May,1598
Number of Personal Bankruptcies (Ontario),2016,Jun,1543
Number of Personal Bankruptcies (Ontario),2016,Jul,1258
Number of Personal Bankruptcies (Ontario),2016,Aug,1329
Number of Personal Bankruptcies (Ontario),2016,Sep,1424
Number of Personal Bankruptcies (Ontario),2016,Oct,1380
Number of Personal Bankruptcies (Ontario),2016,Nov,1493
Number of Personal Bankruptcies (Ontario),2016,Dec,1154
Number of Personal Bankruptcies (Ontario),2017,Jan,1066
Number of Personal Bankruptcies (Ontario),2017,Feb,1167
Number of Personal Bankruptcies (Ontario),2017,Mar,1541
Number of Personal Bankruptcies (Ontario),2017,Apr,1355
Number of Personal Bankruptcies (Ontario),2017,May,1501
Number of Personal Bankruptcies (Ontario),2017,Jun,1363
Number of Personal Bankruptcies (Ontario),2017,Jul,1120
Number of Personal Bankruptcies (Ontario),2017,Aug,1212
Number of Personal Bankruptcies (Ontario),2017,Sep,1294
Number of Personal Bankruptcies (Ontario),2017,Oct,1326
Number of Personal Bankruptcies (Ontario),2017,Nov,1261
Number of Personal Bankruptcies (Ontario),2017,Dec,1133
Number of Personal Bankruptcies (Ontario),2018,Jan,992
Number of Personal Bankruptcies (Ontario),2018,Feb,1098
Number of Personal Bankruptcies (Ontario),2018,Mar,1368
Number of Personal Bankruptcies (Ontario),2018,Apr,1338
Number of Personal Bankruptcies (Ontario),2018,May,1422
Number of Personal Bankruptcies (Ontario),2018,Jun,1265
Number of Personal Bankruptcies (Ontario),2018,Jul,1222
Number of Personal Bankruptcies (Ontario),2018,Aug,1202
